Skipped: net=-29889996.63, entity=001001:QDRE Investment Company Q.S.C. (H), icp=FCCS_No Intercompany:No Intercompany, acct=189001:189001:Inter company account - receivables
Skipped: net=29889996.63, entity=001001:QDRE Investment Company Q.S.C. (H), icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-117802.85, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-2315402.68, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=2315402.68, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=125000.28, entity=E117100:QD UK Holdings LP adjusted, icp=FCCS_No Intercompany:No Intercompany, acct=999999:999999:Suspense Account
Skipped: net=-14058.0, entity=022002:Al Maha Property & Facility Mng. co.-Tajikistan, icp=FCCS_No Intercompany:No Intercompany, acct=[310100].[310001]:310001:Share_Capital
Skipped: net=14058.0, entity=022002:Al Maha Property & Facility Mng. co.-Tajikistan, icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-10243250.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=187013:187013:Current - Derivative financial instruments
Skipped: net=10243250.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=188999:188999:Derivative financial instruments - asset
Skipped: net=5648224.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=201106:201106:Retention payable - Withholding Tax
Skipped: net=-5648224.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=222104:222104:Current portion of retention payable
Skipped: net=-10243250.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=[311500].[310003]:310003:Fair Value/Revaluation Reserve
Skipped: net=10243250.0, entity=013008:CB 4 LP, icp=FCCS_No Intercompany:No Intercompany, acct=[310300].[310005]:310005:Cash Flow Hedge_Revaluation
Skipped: net=227178.0, entity=013009:CB 5 LP, icp=FCCS_No Intercompany:No Intercompany, acct=167012:167012:Other receivables
Skipped: net=-227178.0, entity=013009:CB 5 LP, icp=FCCS_No Intercompany:No Intercompany, acct=187019:187019:Interest receivables
Skipped: net=5808725.0, entity=013007:CB 1_3 LP, icp=FCCS_No Intercompany:No Intercompany, acct=201106:201106:Retention payable - Withholding Tax
Skipped: net=-5808725.0, entity=013007:CB 1_3 LP, icp=FCCS_No Intercompany:No Intercompany, acct=222104:222104:Current portion of retention payable
Skipped: net=12549616.0, entity=013007:CB 1_3 LP, icp=FCCS_No Intercompany:No Intercompany, acct=202111:202111:Project costs provisions
Skipped: net=-12549616.0, entity=013007:CB 1_3 LP, icp=FCCS_No Intercompany:No Intercompany, acct=226029:226029:Project Accruals - current
Skipped: net=18483.47, entity=007011:GPS Holdings S.a.r.l., icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=-18483.47, entity=007011:GPS Holdings S.a.r.l., icp=FCCS_No Intercompany:No Intercompany, acct=432007:432007:Gain/ loss on changes in the fair values of Investment property
Skipped: net=3174.04, entity=007011:GPS Holdings S.a.r.l., icp=FCCS_No Intercompany:No Intercompany, acct=188600:188600:Intercompany Interest Plug A/c
Skipped: net=-3174.04, entity=007011:GPS Holdings S.a.r.l., icp=FCCS_No Intercompany:No Intercompany, acct=226008:226008:Other payables - current liabilities.
